subject,label,comment,type,homepage,country
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer12/Producer12,"geodesics poorhouses","prevailers overrode madnesses valorize wantonness shrinks evadable orthomolecular subpoenal soundtracks adsorbents plied bacterially cognised forgivable erectilities liberties birds cyclings violations thimbles askings commiserations types blighties reinter tenting grabens bridges comedowns drawling dummies platypuses quieted snailing visualization revitalizes constituents incinerated handedly stets shunner ahems gantleting misarranging tackify rollings debark",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer,http://www.Producer12.com/,http://downlode.org/rdf/iso-3166/countries#US
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer2/Producer2,"episcopally expectations","sneeringly discernment snot chippie instances settles interlaces flummery impactors bungs irreparably decays randomization bordures abided imprinting juked ducker breveting panelists premeditation reroute bushmasters stagnating nonabrasive shrubs lovely flashing dilatator knavishness basking unloosed intensives charioteers blowy glaciates hemisection sentenced monocles cadged throatiness emir inutile apogeic whoredom floppies migrator carmines polypoid",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer,http://www.Producer2.com/,http://downlode.org/rdf/iso-3166/countries#US
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer5/Producer5,"antisubmarine","bandana fashionableness interferometry misapplying peninsular peavy cruder amerce workweek choices instructorships reciprocality servicers photoelectrically loneliness antivenins reestablishment refitting autoimmunize berries inhales undemonstratively quinols unhesitating babels oysterwoman waived ollas misinterpretation rankers moldiness gabbiest levitical bonbon accurse glabrous sensoriums waited reposed petaled wheelman pebbly mazes",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer,http://www.Producer5.com/,http://downlode.org/rdf/iso-3166/countries#US
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer18/Producer18,"fuehrer mover","oxidize sequencies nurtures attempter unintentionally dichromatism sacristry predestinated indemnifies deductibles theodicy halibuts encircles pokeweed wriggliest presided tenuto completing greyed clangorously concealing martialled",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer,http://www.Producer18.com/,http://downlode.org/rdf/iso-3166/countries#US
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer11/Producer11,"named","imploded cedars cavitates depolarized oakum boils staysails motorization orthopaedic repairer bailout coagency dickeys thermoelectric geotropically sailer iceboxes rabbinate generalities relegated",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer,http://www.Producer11.com/,http://downlode.org/rdf/iso-3166/countries#US
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Producer1,"velcro shying enticements","hothouses gnawing warblers inkpots ritards valorem defrayals overlooking unready disguises spars spelunking degrees collegia brewed denicotinizes radically tinman kaons denouncers",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer,http://www.Producer1.com/,http://downlode.org/rdf/iso-3166/countries#DE
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer17/Producer17,"employability semiserious tanned","banditry precooling dishonest servomotor rousers ransomable glowworms equatable tattling grindings registrability coffined pollack consumptives boulevards cataloger flatworms sorrily railleries foamiest bullneck transcendentalist conjugational southerly trembler deducing nephritises vetoed notarizes cheeriest retrial yessed publicans icicles linable wreaking",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer,http://www.Producer17.com/,http://downlode.org/rdf/iso-3166/countries#KR
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer4/Producer4,"redeveloper looper nosily","radioisotopic assimilation voicelessly uvulas fancied titivates unlikely corpuscles unloaded malapropisms toneless pelf intromitted strudel smoothest slippy birdieing chummier mammalians whored coopting genitures reassurances revalidate magister aureately discourser telekineses stainless spacewalker motorways chutneys densely gallimaufry meta carrier monosodium avions giftedly prudence silkworms resoundingly swamies acclimated tricycles menopausal alluded",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer,http://www.Producer4.com/,http://downlode.org/rdf/iso-3166/countries#AT
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer10/Producer10,"swigger spectrographies sniffily","collaborated nonaligned groundling colonialist installer blowfly closures expurgators knobs whitsunday notchy clerklier curios ponderable equestrienne incentives readjustments elaborated expectorations razed puzzlement blueprinting impetigos roughhouse",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer,http://www.Producer10.com/,http://downlode.org/rdf/iso-3166/countries#US
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer9/Producer9,"flams eternise barite","syncopates decreers templars frolicked narrated adsorbed recaptured siziness weaning reactors avaunt crenels stunts restless lineups tufter leprosaria foretells revenues permutations bisectional reanimate",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Producer,http://www.Producer9.com/,http://downlode.org/rdf/iso-3166/countries#US
