product,productFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2719
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2721
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2731
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2733
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2735
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2736
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2748
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2752
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2754
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2755
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2757
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature560
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature561
